nomInstall;numInstall;nomCommune;codeINSEE;cp;nomLieuD;numVoie;nomVoie;location;longitude;latitude;accessH;nbPlacesP
Base de Loisirs de Pont Caffino;440370001;Château-Thebaud;44037;44690;;;Site de Pont Caffino;[ 47.124604 , -1.419937];-1.419937;47.124604;Non;0
Salle de la Tour;440370002;Château-Thebaud;44037;44690;;;Place de l'église;[ 47.124604 , -1.419937];-1.419937;47.124604;Non;0
Complexe Sportif;440370004;Château-Thebaud;44037;44690;;;Rue des Sports;[ 47.124604 , -1.419937];-1.419937;47.124604;Oui;40
Stade Municipal;440370005;Château-Thebaud;44037;44690;;;Rue de la Haie;[ 47.124604 , -1.419937];-1.419937;47.124604;Oui;41
Espace du Bois Joli;440370007;Château-Thebaud;44037;44690;;;Rue du Bois Joli;[ 47.124604 , -1.419937];-1.419937;47.124604;Oui;140
Salle du Bois de la Haie;440370008;Château-Thebaud;44037;44690;;;Rue des écoles;[ 47.124604 , -1.419937];-1.419937;47.124604;Oui;23
Terrain de Boules;440370009;Château-Thebaud;44037;44690;;;Place de l'église;[ 47.124604 , -1.419937];-1.419937;47.124604;Non;0
Ecole Marcel Canonnet;440370010;Château-Thebaud;44037;44690;;10;Rue du Prieure;[ 47.124604 , -1.419937];-1.419937;47.124604;Oui;7
Circuits de Randonnee;440370011;Château-Thebaud;44037;44690;;;;[ 47.124604 , -1.419937];-1.419937;47.124604;Non;0
Complexe Sportif du Pinier;440380001;Chauve;44038;44320;;;Rue du Stade;[ 47.150638 , -1.986897];-1.986897;47.150638;Oui;50
Zone de Loisirs;440380002;Chauve;44038;44320;;;Le Bourg;[ 47.150638 , -1.986897];-1.986897;47.150638;Oui;0
Circuits de Randonnees;440380003;Chauve;44038;44320;La Pauvredie;;;[ 47.150638 , -1.986897];-1.986897;47.150638;Non;0
Espace Equestre du Pays de Retz;440380004;Chauve;44038;44320;Ferme des Gautrais;;Rd 6;[ 47.150638 , -1.986897];-1.986897;47.150638;Non;0
Salle Municipale;440380006;Chauve;44038;44320;;;Place du Champ de Foire;[ 47.150638 , -1.986897];-1.986897;47.150638;Oui;0
Aire de Loisirs;440390001;Cheix-en-Retz;44039;44640;;;Rue des Quarterons;[ 47.181243 , -1.816274];-1.816274;47.181243;Non;20
Circuits de Randonnees;440390002;Cheix-en-Retz;44039;44640;;;Place Saint-Martin;[ 47.181243 , -1.816274];-1.816274;47.181243;Non;0
La Pierre Tremblante;440390003;Cheix-en-Retz;44039;44640;;;Chemin des Rives;[ 47.181243 , -1.816274];-1.816274;47.181243;Non;0
Terrain de Ball-Trap;440390004;Cheix-en-Retz;44039;44640;La Pierre Tremblante;;;[ 47.181243 , -1.816274];-1.816274;47.181243;Non;0
Ecole Publique;440390005;Cheix-en-Retz;44039;44640;;1;Rue des Quarterons;[ 47.181243 , -1.816274];-1.816274;47.181243;Oui;0
Bungalow Pres de l'Ecole;440390006;Cheix-en-Retz;44039;44640;;;Rue des Quarterons;[ 47.181243 , -1.816274];-1.816274;47.181243;Non;0
Complexe Sportif de la Pacauderie;440400001;Chemere;44040;44680;;;La Pacauderie;[ 47.121751 , -1.915931];-1.915931;47.121751;Oui;190
Parc de Loisirs;440400002;Chemere;44040;44680;Le Bourg;;;[ 47.121751 , -1.915931];-1.915931;47.121751;Oui;50
Circuits de Randonnee;440400003;Chemere;44040;44680;;;Parc de Loisirs;[ 47.121751 , -1.915931];-1.915931;47.121751;Oui;50
Centre Apalos - Chateau de Noirbreuil;440400004;Chemere;44040;44680;Noirbreuil;;;[ 47.121751 , -1.915931];-1.915931;47.121751;Oui;30
Terrain de Ball-Trap;440400006;Chemere;44040;44680;Le Brandais;;;[ 47.121751 , -1.915931];-1.915931;47.121751;Non;0
Salle Municipale;440400007;Chemere;44040;44680;;1;Impasse des Caillebottes;[ 47.121751 , -1.915931];-1.915931;47.121751;Oui;0
Salle de Billard la Carambole;440400008;Chemere;44040;44680;;;Rue de Pornic;[ 47.121751 , -1.915931];-1.915931;47.121751;Oui;14
Stade Municipal;440410001;Chevrolière;44041;44118;;;La Grande Noë;[ 47.090226 , -1.612705];-1.612705;47.090226;Non;200
Complexe Sportif Hugues Martin;440410002;Chevrolière;44041;44118;;;Rue du Stade;[ 47.090226 , -1.612705];-1.612705;47.090226;Non;50
Ferme Equestre de la Bourionnerie;440410003;Chevrolière;44041;44118;La Bourionnerie;5;;[ 47.090226 , -1.612705];-1.612705;47.090226;Oui;5
Circuits de Randonnee;440410004;Chevrolière;44041;44118;;;;[ 47.090226 , -1.612705];-1.612705;47.090226;Oui;0
Site de Passay;440410005;Chevrolière;44041;44118;Passay;;;[ 47.090226 , -1.612705];-1.612705;47.090226;Oui;0
Salle de Billard;440410007;Chevrolière;44041;44118;;;Rue du Verger;[ 47.090226 , -1.612705];-1.612705;47.090226;Non;60
Site du Ruisseau de la Chaussee;440410010;Chevrolière;44041;44118;;;Rue de la Chaussee;[ 47.090226 , -1.612705];-1.612705;47.090226;Oui;0
Terrains Multisports;440410011;Chevrolière;44041;44118;;;Rue du Docteur Grosse;[ 47.090226 , -1.612705];-1.612705;47.090226;Oui;5
Complexe du Val de Moine;440430001;Clisson;44043;44190;;;Rue Pierre de Coubertin;[ 47.086633 , -1.284105];-1.284105;47.086633;Oui;400
Gymnase Cacault;440430002;Clisson;44043;44190;;5 Ter;Esplanade de Klettgau;[ 47.086633 , -1.284105];-1.284105;47.086633;Non;12
Moulin de Plessard;440430003;Clisson;44043;44190;Moulin de Plessard;;;[ 47.086633 , -1.284105];-1.284105;47.086633;Oui;0
Aqua Plen' Form;440430004;Clisson;44043;44190;;4;Ruelle du Nid d'Oie;[ 47.086633 , -1.284105];-1.284105;47.086633;Non;0
Circuits de Randonnee;440430005;Clisson;44043;44190;;;;[ 47.086633 , -1.284105];-1.284105;47.086633;Non;0
Aquaval;440430006;Clisson;44043;44190;;;Esplanade de Klettgan;[ 47.086633 , -1.284105];-1.284105;47.086633;Oui;0
College Immaculee Conception;440430007;Clisson;44043;44190;;65;Rue du Docteur M. Boutin;[ 47.086633 , -1.284105];-1.284105;47.086633;Non;10
Stand de la Clissonnaise;440430009;Clisson;44043;44190;Parc du Chateau;27;Rue des Halles;[ 47.086633 , -1.284105];-1.284105;47.086633;Oui;0
Parc Henri Iv;440430011;Clisson;44043;44190;Parc Henri Iv;;;[ 47.086633 , -1.284105];-1.284105;47.086633;Non;8
Maison des Associations;440430012;Clisson;44043;44190;;25;Rue de la Madeleine;[ 47.086633 , -1.284105];-1.284105;47.086633;Oui;11
Site du Gervaux;440430013;Clisson;44043;44190;;;Rue de Gervaux;[ 47.086633 , -1.284105];-1.284105;47.086633;Non;0
Be Form;440430015;Clisson;44043;44190;Za Tabari Sud;;Rue des Filatures;[ 47.086633 , -1.284105];-1.284105;47.086633;Oui;30
Groupe Scolaire Jacques Prevert;440430016;Clisson;44043;44190;;;Esplanade de Klettgau;[ 47.086633 , -1.284105];-1.284105;47.086633;Oui;0
Ecole Sainte Famille;440430017;Clisson;44043;44190;;3;Place de la Trinite;[ 47.086633 , -1.284105];-1.284105;47.086633;Oui;0
Rives de la Moine;440430018;Clisson;44043;44190;;;Ruelle de la Moine;[ 47.086633 , -1.284105];-1.284105;47.086633;Oui;0
College de la Blairie;440430019;Clisson;44043;44190;La Blairie;;;[ 47.086633 , -1.284105];-1.284105;47.086633;Oui;50
Stade Pierre Orain;440440001;Conquereuil;44044;44290;;;Rue du Stade;[ 47.623985 , -1.752325];-1.752325;47.623985;Non;0
Plateau Sportif;440440002;Conquereuil;44044;44290;;;Rue du Clos Brohant;[ 47.623985 , -1.752325];-1.752325;47.623985;Non;0
Circuit de Motocross;440440003;Conquereuil;44044;44290;La Vallee du Moulin;;;[ 47.623985 , -1.752325];-1.752325;47.623985;Non;0
Aire des Potinieres (Les Bords du Don);440440005;Conquereuil;44044;44290;;;Allee des Chênes;[ 47.623985 , -1.752325];-1.752325;47.623985;Non;0
Site du Grand Pont Veix;440440008;Conquereuil;44044;44290;Le Grand Pont Veix;;;[ 47.623985 , -1.752325];-1.752325;47.623985;Non;0
Etang de Coisma;440440009;Conquereuil;44044;44290;;;D 129;[ 47.623985 , -1.752325];-1.752325;47.623985;Non;0
Le Clos du Don;440440010;Conquereuil;44044;44290;;;Rue du Stade;[ 47.623985 , -1.752325];-1.752325;47.623985;Oui;3
Ensemble Sportif;440450001;Cordemais;44045;44360;;;Rue des Sports;[ 47.289769 , -1.878994];-1.878994;47.289769;Oui;170
